analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize-Cluster_1_yearly_True_window_3_lags_none_sinusoidal_yes_piecewise,True,3,piecewise_lags_none_sinusoidal_yes,0.397,0.021,345.336,350.058,True,True,False,0.709,-9.816,0,1.314,1.679,0.103,813.4790590766329,,,1.009,1.356,0.34,0.35
Maize-Cluster_1_yearly_True_window_3_lags_1_sinusoidal_yes_piecewise,True,3,piecewise_lags_1_sinusoidal_yes,0.6,0.003,316.242,321.584,True,True,False,1.355,-0.428,0,1.365,1.841,0.059,813.4205258557574,1.107,0.721,1.002,1.368,0.162,0.031
Maize-Cluster_1_yearly_False_window_4_lags_none_sinusoidal_no_piecewise,False,4,piecewise_lags_none_sinusoidal_no,0.151,0.053,488.791,492.679,True,True,False,0.582,-0.317,0,1.077,1.077,0.254,818.27229927,,,,,,
Maize-Cluster_1_yearly_False_window_4_lags_1_sinusoidal_no_piecewise,False,4,piecewise_lags_1_sinusoidal_no,0.181,0.051,463.471,468.503,True,True,False,0.731,-0.026,0,1.081,1.1,0.159,818.3483741,1.019,0.685,,,,
Maize-Cluster_1_yearly_False_window_4_lags_none_sinusoidal_yes_piecewise,False,4,piecewise_lags_none_sinusoidal_yes,0.222,0.09,490.442,496.922,True,True,False,0.659,-0.389,0,1.091,1.285,0.236,818.27229927,,,1.038,1.156,0.231,0.645
Maize-Cluster_1_yearly_False_window_4_lags_1_sinusoidal_yes_piecewise,False,4,piecewise_lags_1_sinusoidal_yes,0.382,0.015,460.161,467.709,True,True,False,1.009,-0.104,0,1.095,1.293,0.134,818.3483741,1.023,0.385,1.028,1.148,0.085,0.134
Maize-Cluster_1_yearly_True_window_4_lags_none_sinusoidal_no_piecewise,True,4,piecewise_lags_none_sinusoidal_no,0.327,0.014,342.431,345.264,True,True,False,0.443,-0.12,0,1.201,1.201,0.116,815.3253115922557,,,,,,
Maize-Cluster_1_yearly_True_window_4_lags_1_sinusoidal_no_piecewise,True,4,piecewise_lags_1_sinusoidal_no,0.318,0.041,318.244,321.805,True,True,False,0.509,-0.068,0,1.222,1.292,0.097,815.6062812495453,1.07,0.556,,,,
Maize-Cluster_1_yearly_True_window_4_lags_none_sinusoidal_yes_piecewise,True,4,piecewise_lags_none_sinusoidal_yes,0.492,0.007,341.105,345.827,True,True,False,0.584,0.184,0,1.277,1.651,0.096,815.3253115922557,,,1.005,1.37,0.133,0.211
Maize-Cluster_1_yearly_True_window_4_lags_1_sinusoidal_yes_piecewise,True,4,piecewise_lags_1_sinusoidal_yes,0.751,0.0,304.102,309.444,True,True,False,1.072,0.606,0,1.293,1.703,0.022,815.6062812495453,1.092,0.706,1.001,1.317,0.006,0.005
Maize-Cluster_1_yearly_False_window_5_lags_none_sinusoidal_no_piecewise,False,5,piecewise_lags_none_sinusoidal_no,0.257,0.008,480.22,484.108,True,True,False,0.539,-0.067,0,1.093,1.093,0.136,816.2155494399999,,,,,,
