analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_0_yearly_False_window_9_lags_7_sinusoidal_no_quadratic,False,9,quadratic_lags_7_sinusoidal_no,0.339,0.0,652.341,659.656,False,True,False,1.392,0.166,0,2.099,2.158,0.372,,,,,,,,,1.06,0.0,,,,
Croplands_cluster_0_yearly_False_window_9_lags_none_sinusoidal_yes_quadratic,False,9,quadratic_lags_none_sinusoidal_yes,0.08,0.61,853.884,863.736,False,True,False,0.603,-0.1,0,1.836,1.866,0.484,,,,,,,,,,,1.014,1.015,0.977,0.072
Croplands_cluster_0_yearly_False_window_9_lags_1_sinusoidal_yes_quadratic,False,9,quadratic_lags_1_sinusoidal_yes,0.044,0.632,781.013,792.72,False,True,False,1.099,-0.152,0,1.95,2.067,0.299,1.093,0.888,,,,,,,,,1.02,1.004,0.643,0.588
Croplands_cluster_0_yearly_False_window_9_lags_2_sinusoidal_yes_quadratic,False,9,quadratic_lags_2_sinusoidal_yes,0.042,0.241,750.458,762.049,False,True,False,0.858,-0.093,0,1.967,1.996,0.944,,,1.019,0.414,,,,,,,1.003,1.007,0.606,0.448
Croplands_cluster_0_yearly_False_window_9_lags_3_sinusoidal_yes_quadratic,False,9,quadratic_lags_3_sinusoidal_yes,0.185,0.041,725.301,736.773,False,True,False,1.162,-0.171,0,2.132,2.192,0.766,,,,,1.04,0.008,,,,,1.006,1.014,0.424,0.2
Croplands_cluster_0_yearly_False_window_9_lags_4_sinusoidal_yes_quadratic,False,9,quadratic_lags_4_sinusoidal_yes,0.235,0.003,708.815,720.166,True,True,False,0.912,-0.078,0,2.228,2.318,0.769,,,,,,,1.073,0.006,,,1.007,1.01,0.225,0.221
Croplands_cluster_0_yearly_False_window_9_lags_7_sinusoidal_yes_quadratic,False,9,quadratic_lags_7_sinusoidal_yes,0.358,0.0,655.024,665.996,False,True,False,1.371,0.068,0,2.149,2.256,0.462,,,,,,,,,1.062,0.0,1.018,1.028,0.293,0.85
Croplands_cluster_0_yearly_True_window_9_lags_none_sinusoidal_no_quadratic,True,9,quadratic_lags_none_sinusoidal_no,0.503,0.0,424.095,428.091,True,True,False,0.738,0.374,0,1.688,1.688,0.004,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_9_lags_1_sinusoidal_no_quadratic,True,9,quadratic_lags_1_sinusoidal_no,0.454,0.0,412.196,417.379,True,True,False,0.551,-0.037,0,1.782,2.045,0.092,1.263,0.054,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_9_lags_2_sinusoidal_no_quadratic,True,9,quadratic_lags_2_sinusoidal_no,0.395,0.058,396.932,401.965,True,True,False,0.858,-1.261,0,1.549,1.579,0.597,,,1.03,0.004,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_9_lags_3_sinusoidal_no_quadratic,True,9,quadratic_lags_3_sinusoidal_no,0.267,0.016,379.2,384.076,True,True,False,0.737,-0.969,0,1.659,1.673,0.132,,,,,1.014,0.109,,,,,,,,
Croplands_cluster_0_yearly_True_window_9_lags_4_sinusoidal_no_quadratic,True,9,quadratic_lags_4_sinusoidal_no,0.351,0.047,363.759,368.471,True,True,False,0.818,0.127,0,1.721,1.989,0.958,,,,,,,1.268,0.007,,,,,,
Croplands_cluster_0_yearly_True_window_9_lags_7_sinusoidal_no_quadratic,True,9,quadratic_lags_7_sinusoidal_no,0.07,0.793,319.083,323.261,True,True,False,0.686,-0.517,0,1.699,1.851,0.321,,,,,,,,,1.152,0.675,,,,
Croplands_cluster_0_yearly_True_window_9_lags_none_sinusoidal_yes_quadratic,True,9,quadratic_lags_none_sinusoidal_yes,0.523,0.0,426.972,433.633,True,True,False,0.628,0.264,0,1.7,1.717,0.006,,,,,,,,,,,1.017,1.0,0.554,0.455
