analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_yearly_True_window_4_lags_4_sinusoidal_no_linear,True,4,linear_lags_4_sinusoidal_no,0.649,0.0,561.203,565.869,True,False,False,0.402,0.598,0,1.0,,,,,,,1.0,0.159,,,,,,
Croplands_yearly_True_window_4_lags_5_sinusoidal_no_linear,True,4,linear_lags_5_sinusoidal_no,0.628,0.0,545.016,549.595,True,True,False,0.427,0.586,0,1.0,,,,,,,,,1.0,0.109,,,,
Croplands_yearly_True_window_4_lags_none_sinusoidal_yes_linear,True,4,linear_lags_none_sinusoidal_yes,0.569,0.0,627.649,634.304,True,False,False,0.416,0.497,0,1.0,,,,,,,,,,,1.0,1.0,0.825,0.856
Croplands_yearly_True_window_4_lags_1_sinusoidal_yes_linear,True,4,linear_lags_1_sinusoidal_yes,0.661,0.0,608.553,616.741,True,False,False,0.556,0.56,0,1.0,1.0,0.071,,,,,,,,,1.0,1.0,0.911,0.963
Croplands_yearly_True_window_4_lags_2_sinusoidal_yes_linear,True,4,linear_lags_2_sinusoidal_yes,0.637,0.0,593.464,601.519,True,False,False,0.454,0.4,0,1.0,,,1.0,0.072,,,,,,,1.0,1.0,0.48,0.711
Croplands_yearly_True_window_4_lags_3_sinusoidal_yes_linear,True,4,linear_lags_3_sinusoidal_yes,0.647,0.0,579.007,586.925,True,False,False,0.45,0.556,0,1.0,,,,,1.0,0.139,,,,,1.0,1.0,0.733,0.624
Croplands_yearly_True_window_4_lags_4_sinusoidal_yes_linear,True,4,linear_lags_4_sinusoidal_yes,0.656,0.001,564.44,572.216,True,False,False,0.404,0.543,0,1.0,,,,,,,1.0,0.146,,,1.0,1.0,0.832,0.439
Croplands_yearly_True_window_4_lags_5_sinusoidal_yes_linear,True,4,linear_lags_5_sinusoidal_yes,0.646,0.001,547.376,555.008,True,False,False,0.431,0.574,0,1.0,,,,,,,,,1.0,0.088,1.0,1.0,0.755,0.255
Croplands_yearly_False_window_5_lags_none_sinusoidal_no_linear,False,5,linear_lags_none_sinusoidal_no,0.225,0.0,3145.656,3151.997,False,False,False,0.713,0.217,0,1.0,,,,,,,,,,,,,,
Croplands_yearly_False_window_5_lags_1_sinusoidal_no_linear,False,5,linear_lags_1_sinusoidal_no,0.227,0.0,3130.495,3139.989,False,False,False,0.72,0.22,0,1.0,1.0,0.55,,,,,,,,,,,,
Croplands_yearly_False_window_5_lags_2_sinusoidal_no_linear,False,5,linear_lags_2_sinusoidal_no,0.228,0.0,3115.486,3124.963,False,False,False,0.699,0.198,0,1.0,,,1.0,0.831,,,,,,,,,,
Croplands_yearly_False_window_5_lags_3_sinusoidal_no_linear,False,5,linear_lags_3_sinusoidal_no,0.076,0.003,3247.773,3257.233,False,False,False,1.045,0.061,0,1.0,,,,,1.0,0.506,,,,,,,,
Croplands_yearly_False_window_5_lags_4_sinusoidal_no_linear,False,5,linear_lags_4_sinusoidal_no,0.23,0.0,3078.964,3088.407,False,False,False,0.694,0.215,0,1.0,,,,,,,1.0,0.527,,,,,,
Croplands_yearly_False_window_5_lags_5_sinusoidal_no_linear,False,5,linear_lags_5_sinusoidal_no,0.074,0.001,3211.23,3220.655,False,False,False,1.015,0.004,0,1.0,,,,,,,,,1.0,0.767,,,,
Croplands_yearly_False_window_5_lags_none_sinusoidal_yes_linear,False,5,linear_lags_none_sinusoidal_yes,0.228,0.0,3148.868,3161.55,False,False,False,0.719,0.213,0,1.0,,,,,,,,,,,1.0,1.0,0.877,0.389
Croplands_yearly_False_window_5_lags_1_sinusoidal_yes_linear,False,5,linear_lags_1_sinusoidal_yes,0.23,0.0,3133.805,3149.629,False,False,False,0.725,0.202,0,1.0,1.0,0.558,,,,,,,,,1.0,1.0,0.848,0.428
Croplands_yearly_False_window_5_lags_2_sinusoidal_yes_linear,False,5,linear_lags_2_sinusoidal_yes,0.234,0.0,3118.164,3133.959,True,False,False,0.704,0.184,0,1.0,,,1.0,0.815,,,,,,,1.0,1.0,0.762,0.277
Croplands_yearly_False_window_5_lags_3_sinusoidal_yes_linear,False,5,linear_lags_3_sinusoidal_yes,0.085,0.002,3250.033,3265.799,False,False,False,1.064,0.017,0,1.0,,,,,1.0,0.577,,,,,1.0,1.0,0.491,0.265
