analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_True_window_1_lags_2_sinusoidal_no_linear,True,1,linear_lags_2_sinusoidal_no,0.092,0.642,382.213,385.2,False,True,True,1.762,0.015,0,1.0,,,1.0,0.81,,,,,,
Croplands_cluster_1_yearly_True_window_1_lags_6_sinusoidal_no_linear,True,1,linear_lags_6_sinusoidal_no,0.131,0.193,305.343,307.66,True,True,True,1.53,-0.1,0,1.0,,,,,1.0,0.282,,,,
Croplands_cluster_1_yearly_True_window_1_lags_none_sinusoidal_yes_linear,True,1,linear_lags_none_sinusoidal_yes,0.198,0.285,417.072,421.436,True,False,True,2.059,-0.572,0,1.0,,,,,,,1.0,1.0,0.136,0.744
Croplands_cluster_1_yearly_True_window_1_lags_1_sinusoidal_yes_linear,True,1,linear_lags_1_sinusoidal_yes,0.237,0.819,400.351,405.574,True,True,True,2.084,-2.374,0,1.0,1.0,0.433,,,,,1.0,1.0,0.141,0.514
Croplands_cluster_1_yearly_True_window_1_lags_2_sinusoidal_yes_linear,True,1,linear_lags_2_sinusoidal_yes,0.22,0.905,383.156,388.135,True,True,True,2.113,-0.298,0,1.0,,,1.0,0.608,,,1.0,1.0,0.154,0.607
Croplands_cluster_1_yearly_True_window_1_lags_6_sinusoidal_yes_linear,True,1,linear_lags_6_sinusoidal_yes,0.511,0.165,300.15,304.013,True,True,False,2.52,-1.12,0,1.0,,,,,1.0,0.23,1.0,1.0,0.014,0.991
Croplands_cluster_1_yearly_False_window_2_lags_none_sinusoidal_no_linear,False,2,linear_lags_none_sinusoidal_no,0.014,0.39,1053.709,1057.687,True,True,False,0.956,-0.218,0,1.0,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_2_lags_1_sinusoidal_no_linear,False,2,linear_lags_1_sinusoidal_no,0.046,0.985,1035.029,1040.94,True,True,False,0.917,-0.066,0,1.0,1.0,0.177,,,,,,,,
Croplands_cluster_1_yearly_False_window_2_lags_2_sinusoidal_no_linear,False,2,linear_lags_2_sinusoidal_no,0.042,0.824,1015.516,1021.37,True,True,False,0.963,-0.097,0,1.0,,,1.0,0.225,,,,,,
Croplands_cluster_1_yearly_False_window_2_lags_6_sinusoidal_no_linear,False,2,linear_lags_6_sinusoidal_no,0.052,0.137,939.699,945.312,True,True,False,0.914,0.008,0,1.0,,,,,1.0,0.147,,,,
Croplands_cluster_1_yearly_False_window_2_lags_none_sinusoidal_yes_linear,False,2,linear_lags_none_sinusoidal_yes,0.058,0.587,1055.248,1063.204,True,True,False,1.01,-0.218,0,1.0,,,,,,,1.0,1.0,0.137,0.775
