analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_0_yearly_True_window_7_lags_1_sinusoidal_yes_linear,True,7,linear_lags_1_sinusoidal_yes,0.284,0.02,428.78,435.259,False,True,False,0.294,0.057,0,1.0,1.0,0.057,,,,,,,,,1.0,1.0,0.258,0.846
Croplands_cluster_0_yearly_True_window_7_lags_2_sinusoidal_yes_linear,True,7,linear_lags_2_sinusoidal_yes,0.196,0.132,415.746,422.036,False,True,False,0.363,-0.727,0,1.0,,,1.0,0.084,,,,,,,1.0,1.0,0.895,0.533
Croplands_cluster_0_yearly_True_window_7_lags_3_sinusoidal_yes_linear,True,7,linear_lags_3_sinusoidal_yes,0.101,0.215,397.62,403.714,False,True,False,0.351,-0.682,0,1.0,,,,,1.0,0.76,,,,,1.0,1.0,0.519,0.51
Croplands_cluster_0_yearly_True_window_7_lags_4_sinusoidal_yes_linear,True,7,linear_lags_4_sinusoidal_yes,0.08,0.379,383.986,389.876,False,True,False,0.394,-2.212,0,1.0,,,,,,,1.0,0.531,,,1.0,1.0,0.52,0.623
Croplands_cluster_0_yearly_True_window_7_lags_7_sinusoidal_yes_linear,True,7,linear_lags_7_sinusoidal_yes,0.116,0.298,336.266,341.489,False,True,False,0.377,-0.834,0,1.0,,,,,,,,,1.0,0.551,1.0,1.0,0.885,0.517
Croplands_cluster_0_yearly_False_window_8_lags_none_sinusoidal_no_linear,False,8,linear_lags_none_sinusoidal_no,0.007,0.546,873.592,877.532,False,True,False,0.994,-0.058,0,1.0,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_8_lags_1_sinusoidal_no_linear,False,8,linear_lags_1_sinusoidal_no,0.075,0.362,828.005,833.858,False,True,False,1.314,-0.006,0,1.0,1.0,0.053,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_8_lags_2_sinusoidal_no_linear,False,8,linear_lags_2_sinusoidal_no,0.049,0.526,806.945,812.741,False,True,False,1.014,0.015,0,1.0,,,1.0,0.123,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_8_lags_3_sinusoidal_no_linear,False,8,linear_lags_3_sinusoidal_no,0.002,0.801,791.855,797.591,False,True,False,1.023,-0.224,0,1.0,,,,,1.0,0.961,,,,,,,,
Croplands_cluster_0_yearly_False_window_8_lags_4_sinusoidal_no_linear,False,8,linear_lags_4_sinusoidal_no,0.003,0.912,775.25,780.926,False,True,False,0.985,-0.074,0,1.0,,,,,,,1.0,0.717,,,,,,
