analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag0,p_value_lag0,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize_yearly_False_window_5_lags_0_sinusoidal_no_quadratic,False,5,quadratic_lags_0_sinusoidal_no,0.52,0.0,1210.075,1219.012,True,True,False,0.662,0.335,0,2.067,2.082,0.021,1.014,0.067,,,,,,
Maize_yearly_False_window_5_lags_1_sinusoidal_no_quadratic,False,5,quadratic_lags_1_sinusoidal_no,0.544,0.0,1187.549,1196.427,True,True,False,0.7,0.477,0,2.092,2.095,0.011,,,1.003,0.437,,,,
Maize_yearly_False_window_5_lags_none_sinusoidal_yes_quadratic,False,5,quadratic_lags_none_sinusoidal_yes,0.537,0.0,1209.518,1220.689,True,True,False,0.618,0.471,0,2.086,2.119,0.014,,,,,1.013,1.02,0.024,0.435
Maize_yearly_False_window_5_lags_0_sinusoidal_yes_quadratic,False,5,quadratic_lags_0_sinusoidal_yes,0.56,0.0,1208.069,1221.474,True,True,False,0.703,0.198,0,2.095,2.136,0.009,1.015,0.056,,,1.013,1.014,0.021,0.707
Maize_yearly_False_window_5_lags_1_sinusoidal_yes_quadratic,False,5,quadratic_lags_1_sinusoidal_yes,0.578,0.0,1186.194,1199.511,True,True,False,0.744,0.355,0,2.122,2.152,0.005,,,1.003,0.446,1.013,1.014,0.03,0.718
Maize_yearly_True_window_5_lags_none_sinusoidal_no_quadratic,True,5,quadratic_lags_none_sinusoidal_no,0.593,0.0,633.27,638.103,True,True,False,0.612,0.502,0,2.122,2.122,0.5,,,,,,,,
Maize_yearly_True_window_5_lags_0_sinusoidal_no_quadratic,True,5,quadratic_lags_0_sinusoidal_no,0.594,0.0,635.234,641.678,True,False,False,0.617,0.445,0,2.151,2.177,0.494,1.026,0.858,,,,,,
Maize_yearly_True_window_5_lags_1_sinusoidal_no_quadratic,True,5,quadratic_lags_1_sinusoidal_no,0.716,0.0,604.622,610.956,True,True,False,0.812,0.599,0,2.14,2.142,0.292,,,1.002,0.563,,,,
Maize_yearly_True_window_5_lags_none_sinusoidal_yes_quadratic,True,5,quadratic_lags_none_sinusoidal_yes,0.64,0.0,632.804,640.859,True,False,False,0.706,0.419,0,2.488,2.814,0.26,,,,,1.013,1.313,0.067,0.427
Maize_yearly_True_window_5_lags_0_sinusoidal_yes_quadratic,True,5,quadratic_lags_0_sinusoidal_yes,0.64,0.0,634.748,644.413,True,False,False,0.712,0.29,0,2.527,2.889,0.259,1.034,0.762,,,1.012,1.315,0.071,0.429
Maize_yearly_True_window_5_lags_1_sinusoidal_yes_quadratic,True,5,quadratic_lags_1_sinusoidal_yes,0.751,0.0,603.842,613.343,True,True,False,0.858,0.609,0,2.526,2.868,0.345,,,1.002,0.475,1.009,1.33,0.05,0.808
Maize_yearly_False_window_6_lags_none_sinusoidal_no_quadratic,False,6,quadratic_lags_none_sinusoidal_no,0.555,0.0,1194.95,1201.652,True,False,False,0.603,0.524,0,1.911,1.911,0.132,,,,,,,,
Maize_yearly_False_window_6_lags_0_sinusoidal_no_quadratic,False,6,quadratic_lags_0_sinusoidal_no,0.582,0.0,1192.621,1201.557,True,True,False,0.708,0.314,0,1.915,1.919,0.1,1.004,0.044,,,,,,
Maize_yearly_False_window_6_lags_1_sinusoidal_no_quadratic,False,6,quadratic_lags_1_sinusoidal_no,0.607,0.0,1168.657,1177.535,True,True,False,0.717,0.483,0,1.958,1.966,0.042,,,1.007,0.885,,,,
Maize_yearly_False_window_6_lags_none_sinusoidal_yes_quadratic,False,6,quadratic_lags_none_sinusoidal_yes,0.593,0.0,1192.764,1203.934,True,False,False,0.655,0.499,0,1.975,2.045,0.055,,,,,1.03,1.04,0.018,0.754
Maize_yearly_False_window_6_lags_0_sinusoidal_yes_quadratic,False,6,quadratic_lags_0_sinusoidal_yes,0.623,0.0,1189.582,1202.987,True,True,False,0.77,0.486,0,1.976,2.048,0.044,1.005,0.035,,,1.031,1.036,0.012,0.956
Maize_yearly_False_window_6_lags_1_sinusoidal_yes_quadratic,False,6,quadratic_lags_1_sinusoidal_yes,0.639,0.0,1166.889,1180.206,True,True,False,0.774,0.432,0,2.018,2.088,0.021,,,1.008,0.927,1.028,1.034,0.023,0.85
Maize_yearly_True_window_6_lags_none_sinusoidal_no_quadratic,True,6,quadratic_lags_none_sinusoidal_no,0.612,0.0,628.387,633.219,True,True,False,0.381,0.532,0,2.355,2.355,0.377,,,,,,,,
Maize_yearly_True_window_6_lags_0_sinusoidal_no_quadratic,True,6,quadratic_lags_0_sinusoidal_no,0.698,0.0,621.089,627.533,True,True,False,0.766,0.126,0,2.355,2.355,0.355,1.0,0.004,,,,,,
Maize_yearly_True_window_6_lags_1_sinusoidal_no_quadratic,True,6,quadratic_lags_1_sinusoidal_no,0.759,0.0,594.744,601.078,True,True,False,0.649,0.639,0,2.378,2.38,0.118,,,1.002,0.987,,,,
Maize_yearly_True_window_6_lags_none_sinusoidal_yes_quadratic,True,6,quadratic_lags_none_sinusoidal_yes,0.655,0.0,628.064,636.118,True,False,False,0.5,0.546,0,2.976,3.434,0.104,,,,,1.158,1.3,0.062,0.429
Maize_yearly_True_window_6_lags_0_sinusoidal_yes_quadratic,True,6,quadratic_lags_0_sinusoidal_yes,0.731,0.0,620.899,630.565,True,False,False,0.886,0.561,0,3.054,3.57,0.229,1.002,0.003,,,1.167,1.347,0.081,0.981
Maize_yearly_True_window_6_lags_1_sinusoidal_yes_quadratic,True,6,quadratic_lags_1_sinusoidal_yes,0.783,0.0,594.893,604.394,False,True,False,0.705,0.617,0,3.003,3.458,0.086,,,1.002,0.924,1.131,1.322,0.084,0.874
Maize_yearly_False_window_7_lags_none_sinusoidal_no_quadratic,False,7,quadratic_lags_none_sinusoidal_no,0.638,0.0,1174.165,1180.867,True,False,False,0.474,0.626,0,1.85,1.85,0.298,,,,,,,,
Maize_yearly_False_window_7_lags_0_sinusoidal_no_quadratic,False,7,quadratic_lags_0_sinusoidal_no,0.643,0.0,1175.29,1184.226,True,True,False,0.476,0.612,0,1.856,1.864,0.353,1.008,0.366,,,,,,
Maize_yearly_False_window_7_lags_1_sinusoidal_no_quadratic,False,7,quadratic_lags_1_sinusoidal_no,0.675,0.0,1149.211,1158.089,True,True,False,0.494,0.598,0,1.898,1.907,0.137,,,1.008,0.436,,,,
Maize_yearly_False_window_7_lags_none_sinusoidal_yes_quadratic,False,7,quadratic_lags_none_sinusoidal_yes,0.671,0.0,1171.693,1182.863,True,False,False,0.528,0.616,0,1.903,1.965,0.251,,,,,1.006,1.056,0.015,0.921
Maize_yearly_False_window_7_lags_0_sinusoidal_yes_quadratic,False,7,quadratic_lags_0_sinusoidal_yes,0.674,0.0,1172.928,1186.333,True,False,False,0.525,0.601,0,1.912,1.986,0.311,1.008,0.35,,,1.007,1.059,0.017,0.852
Maize_yearly_False_window_7_lags_1_sinusoidal_yes_quadratic,False,7,quadratic_lags_1_sinusoidal_yes,0.704,0.0,1146.946,1160.264,True,True,False,0.533,0.56,0,1.952,2.021,0.156,,,1.009,0.386,1.005,1.056,0.021,0.544
