analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_2_yearly_True_window_8_lags_none_sinusoidal_no_linear,True,8,linear_lags_none_sinusoidal_no,0.002,0.834,516.75,519.484,False,True,False,0.111,-0.045,0,1.0,,,,,,,,
Croplands_cluster_2_yearly_True_window_8_lags_1_sinusoidal_no_linear,True,8,linear_lags_1_sinusoidal_no,0.084,0.848,498.838,502.834,True,False,False,0.277,-0.098,0,1.0,1.0,0.15,,,,,,
Croplands_cluster_2_yearly_True_window_8_lags_5_sinusoidal_no_linear,True,8,linear_lags_5_sinusoidal_no,0.111,0.124,445.961,449.495,False,False,False,0.158,0.0,0,1.0,,,1.0,0.144,,,,
Croplands_cluster_2_yearly_True_window_8_lags_none_sinusoidal_yes_linear,True,8,linear_lags_none_sinusoidal_yes,0.009,0.919,520.521,525.99,False,True,False,0.114,-0.931,0,1.0,,,,,1.0,1.0,0.936,0.664
Croplands_cluster_2_yearly_True_window_8_lags_1_sinusoidal_yes_linear,True,8,linear_lags_1_sinusoidal_yes,0.085,0.853,502.799,509.46,True,True,False,0.278,-0.195,0,1.0,1.0,0.168,,,1.0,1.0,0.896,0.906
Croplands_cluster_2_yearly_True_window_8_lags_5_sinusoidal_yes_linear,True,8,linear_lags_5_sinusoidal_yes,0.129,0.127,449.466,455.357,False,True,False,0.183,-0.046,0,1.0,,,1.0,0.146,1.0,1.0,0.807,0.573
Croplands_cluster_2_yearly_False_window_9_lags_none_sinusoidal_no_linear,False,9,linear_lags_none_sinusoidal_no,0.004,0.606,1245.163,1249.631,False,False,False,0.205,-0.041,0,1.0,,,,,,,,
Croplands_cluster_2_yearly_False_window_9_lags_1_sinusoidal_no_linear,False,9,linear_lags_1_sinusoidal_no,0.008,0.551,1229.794,1236.452,False,True,False,0.195,-0.16,0,1.0,1.0,0.591,,,,,,
Croplands_cluster_2_yearly_False_window_9_lags_5_sinusoidal_no_linear,False,9,linear_lags_5_sinusoidal_no,0.001,0.816,1161.242,1167.719,False,True,False,0.192,-0.059,0,1.0,,,1.0,0.857,,,,
Croplands_cluster_2_yearly_False_window_9_lags_none_sinusoidal_yes_linear,False,9,linear_lags_none_sinusoidal_yes,0.067,0.415,1244.683,1253.62,False,True,False,0.241,-0.048,0,1.0,,,,,1.0,1.0,0.045,0.657
Croplands_cluster_2_yearly_False_window_9_lags_1_sinusoidal_yes_linear,False,9,linear_lags_1_sinusoidal_yes,0.07,0.395,1229.438,1240.536,True,True,False,0.233,-0.167,0,1.0,1.0,0.542,,,1.0,1.0,0.054,0.581
Croplands_cluster_2_yearly_False_window_9_lags_5_sinusoidal_yes_linear,False,9,linear_lags_5_sinusoidal_yes,0.064,0.747,1161.088,1171.883,False,True,False,0.217,-0.093,0,1.0,,,1.0,0.813,1.0,1.0,0.06,0.589
Croplands_cluster_2_yearly_True_window_9_lags_none_sinusoidal_no_linear,True,9,linear_lags_none_sinusoidal_no,0.008,0.648,516.561,519.296,False,False,False,0.164,-0.0,0,1.0,,,,,,,,
Croplands_cluster_2_yearly_True_window_9_lags_1_sinusoidal_no_linear,True,9,linear_lags_1_sinusoidal_no,0.051,0.916,499.714,503.711,False,False,False,0.258,-0.489,0,1.0,1.0,0.289,,,,,,
Croplands_cluster_2_yearly_True_window_9_lags_5_sinusoidal_no_linear,True,9,linear_lags_5_sinusoidal_no,0.067,0.235,443.862,447.396,False,True,False,0.124,-0.381,0,1.0,,,1.0,0.269,,,,
Croplands_cluster_2_yearly_True_window_9_lags_none_sinusoidal_yes_linear,True,9,linear_lags_none_sinusoidal_yes,0.013,0.737,520.407,525.876,False,True,False,0.166,-0.942,0,1.0,,,,,1.0,1.0,0.924,0.729
Croplands_cluster_2_yearly_True_window_9_lags_1_sinusoidal_yes_linear,True,9,linear_lags_1_sinusoidal_yes,0.052,0.948,503.684,510.345,False,True,False,0.261,-0.621,0,1.0,1.0,0.306,,,1.0,1.0,0.992,0.876
Croplands_cluster_2_yearly_True_window_9_lags_5_sinusoidal_yes_linear,True,9,linear_lags_5_sinusoidal_yes,0.084,0.243,447.407,453.298,False,True,False,0.154,-0.566,0,1.0,,,1.0,0.276,1.0,1.0,0.733,0.629
Croplands_cluster_2_yearly_False_window_10_lags_none_sinusoidal_no_linear,False,10,linear_lags_none_sinusoidal_no,0.004,0.617,1241.901,1246.369,False,True,False,0.134,-0.01,0,1.0,,,,,,,,
Croplands_cluster_2_yearly_False_window_10_lags_1_sinusoidal_no_linear,False,10,linear_lags_1_sinusoidal_no,0.009,0.548,1226.454,1233.112,False,True,False,0.136,-0.157,0,1.0,1.0,0.53,,,,,,
Croplands_cluster_2_yearly_False_window_10_lags_5_sinusoidal_no_linear,False,10,linear_lags_5_sinusoidal_no,0.008,0.624,1158.255,1164.731,False,True,False,0.134,-0.038,0,1.0,,,1.0,0.488,,,,
Croplands_cluster_2_yearly_False_window_10_lags_none_sinusoidal_yes_linear,False,10,linear_lags_none_sinusoidal_yes,0.06,0.438,1241.896,1250.833,False,True,False,0.171,-0.022,0,1.0,,,,,1.0,1.0,0.063,0.583
Croplands_cluster_2_yearly_False_window_10_lags_1_sinusoidal_yes_linear,False,10,linear_lags_1_sinusoidal_yes,0.063,0.415,1226.638,1237.736,False,True,False,0.171,-0.181,0,1.0,1.0,0.49,,,1.0,1.0,0.078,0.505
