analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_False_window_6_lags_2_sinusoidal_yes_quadratic,False,6,quadratic_lags_2_sinusoidal_yes,0.235,0.297,949.297,961.004,True,True,False,0.633,-0.168,0,2.089,2.421,0.045,,,1.068,0.491,,,1.228,1.036,0.001,0.83
Croplands_cluster_1_yearly_False_window_6_lags_6_sinusoidal_yes_quadratic,False,6,quadratic_lags_6_sinusoidal_yes,0.225,0.349,901.365,912.593,True,False,False,0.543,-0.24,0,2.178,2.561,0.062,,,,,1.019,0.247,1.351,1.014,0.002,0.879
Croplands_cluster_1_yearly_True_window_6_lags_none_sinusoidal_no_quadratic,True,6,quadratic_lags_none_sinusoidal_no,0.138,0.592,378.641,381.914,True,True,False,0.744,-0.919,0,1.943,1.943,0.125,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_6_lags_1_sinusoidal_no_quadratic,True,6,quadratic_lags_1_sinusoidal_no,0.25,0.507,361.632,365.81,True,True,False,0.913,-1.626,0,1.75,1.774,0.099,1.024,0.128,,,,,,,,
Croplands_cluster_1_yearly_True_window_6_lags_2_sinusoidal_no_quadratic,True,6,quadratic_lags_2_sinusoidal_no,0.279,0.401,345.17,349.153,True,True,False,0.912,-1.385,0,1.683,1.693,0.283,,,1.01,0.091,,,,,,
Croplands_cluster_1_yearly_True_window_6_lags_6_sinusoidal_no_quadratic,True,6,quadratic_lags_6_sinusoidal_no,0.429,0.025,283.198,286.288,True,True,False,0.534,-0.109,0,2.233,2.303,0.727,,,,,1.069,0.786,,,,
Croplands_cluster_1_yearly_True_window_6_lags_none_sinusoidal_yes_quadratic,True,6,quadratic_lags_none_sinusoidal_yes,0.395,0.604,374.839,380.294,True,True,False,0.658,-0.529,0,2.369,2.82,0.953,,,,,,,1.386,1.065,0.021,0.169
Croplands_cluster_1_yearly_True_window_6_lags_1_sinusoidal_yes_quadratic,True,6,quadratic_lags_1_sinusoidal_yes,0.622,0.191,351.233,357.5,True,True,False,1.239,-0.209,0,2.089,2.576,0.786,1.035,0.043,,,,,1.433,1.018,0.008,0.01
Croplands_cluster_1_yearly_True_window_6_lags_2_sinusoidal_yes_quadratic,True,6,quadratic_lags_2_sinusoidal_yes,0.811,0.011,322.42,328.394,True,True,True,1.642,0.183,0,1.876,2.171,0.217,,,1.013,0.0,,,1.279,1.004,0.0,0.0
Croplands_cluster_1_yearly_True_window_6_lags_6_sinusoidal_yes_quadratic,True,6,quadratic_lags_6_sinusoidal_yes,0.967,0.121,241.489,246.125,True,True,True,1.968,0.856,0,2.284,2.396,0.05,,,,,1.072,0.192,1.005,1.035,0.0,0.125
