analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag0,p_value_lag0,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize_yearly_False_window_3_lags_none_sinusoidal_yes_piecewise,False,3,piecewise_lags_none_sinusoidal_yes,0.28,0.0,1269.586,1280.756,False,True,False,0.884,0.06,0,1.233,1.24,0.118,938.7711152103703,,,,,1.005,1.003,0.408,0.481
Maize_yearly_False_window_3_lags_0_sinusoidal_yes_piecewise,False,3,piecewise_lags_0_sinusoidal_yes,0.296,0.0,1270.066,1283.47,False,True,False,0.933,-0.031,0,1.233,1.243,0.117,938.7711152103703,1.003,0.2,,,1.005,1.002,0.428,0.586
Maize_yearly_False_window_3_lags_1_sinusoidal_yes_piecewise,False,3,piecewise_lags_1_sinusoidal_yes,0.287,0.0,1251.79,1265.107,False,True,False,0.911,0.139,0,1.263,1.321,0.095,935.4904859684848,,,1.046,0.83,1.007,1.005,0.434,0.705
Maize_yearly_True_window_3_lags_none_sinusoidal_no_piecewise,True,3,piecewise_lags_none_sinusoidal_no,0.621,0.001,642.608,647.441,True,True,False,0.8,0.535,0,2.46,2.46,0.417,731.2343184184624,,,,,,,,
Maize_yearly_True_window_3_lags_0_sinusoidal_no_piecewise,True,3,piecewise_lags_0_sinusoidal_no,0.666,0.0,639.893,646.337,True,True,False,1.044,0.596,0,2.518,2.557,0.175,731.2343184184624,1.04,0.042,,,,,,
Maize_yearly_True_window_3_lags_1_sinusoidal_no_piecewise,True,3,piecewise_lags_1_sinusoidal_no,0.692,0.0,619.462,625.796,True,True,False,0.825,0.613,0,1.741,1.863,0.251,809.2349378376263,,,1.122,0.391,,,,
Maize_yearly_True_window_3_lags_none_sinusoidal_yes_piecewise,True,3,piecewise_lags_none_sinusoidal_yes,0.658,0.001,642.824,650.879,True,True,False,0.877,0.547,0,2.522,2.564,0.363,731.2343184184624,,,,,1.023,1.019,0.092,0.535
Maize_yearly_True_window_3_lags_0_sinusoidal_yes_piecewise,True,3,piecewise_lags_0_sinusoidal_yes,0.703,0.0,639.582,649.247,True,True,False,1.151,0.617,0,2.558,2.625,0.195,731.2343184184624,1.041,0.041,,,1.02,1.007,0.06,0.931
Maize_yearly_True_window_3_lags_1_sinusoidal_yes_piecewise,True,3,piecewise_lags_1_sinusoidal_yes,0.723,0.0,619.691,629.192,True,True,False,0.882,0.612,0,1.832,2.091,0.449,809.2349378376263,,,1.137,0.304,1.066,1.056,0.081,0.753
Maize_yearly_False_window_4_lags_none_sinusoidal_no_piecewise,False,4,piecewise_lags_none_sinusoidal_no,0.41,0.0,1236.354,1243.056,False,True,False,0.705,0.373,0,1.782,1.782,0.009,812.0579804250505,,,,,,,,
Maize_yearly_False_window_4_lags_0_sinusoidal_no_piecewise,False,4,piecewise_lags_0_sinusoidal_no,0.419,0.0,1237.314,1246.251,False,True,False,0.786,0.29,0,1.789,1.798,0.008,812.0579804250505,1.009,0.324,,,,,,
Maize_yearly_False_window_4_lags_1_sinusoidal_no_piecewise,False,4,piecewise_lags_1_sinusoidal_no,0.455,0.0,1213.116,1221.994,False,True,False,0.813,0.442,0,1.856,1.927,0.002,814.9901356247979,,,1.07,0.643,,,,
Maize_yearly_False_window_4_lags_none_sinusoidal_yes_piecewise,False,4,piecewise_lags_none_sinusoidal_yes,0.441,0.0,1236.59,1247.761,False,True,False,0.756,0.368,0,1.803,1.829,0.005,812.0579804250505,,,,,1.0,1.026,0.075,0.578
Maize_yearly_False_window_4_lags_0_sinusoidal_yes_piecewise,False,4,piecewise_lags_0_sinusoidal_yes,0.446,0.0,1237.997,1251.402,False,True,False,0.812,0.214,0,1.806,1.836,0.005,812.0579804250505,1.009,0.318,,,1.0,1.021,0.09,0.707
Maize_yearly_False_window_4_lags_1_sinusoidal_yes_piecewise,False,4,piecewise_lags_1_sinusoidal_yes,0.478,0.0,1214.173,1227.49,False,True,False,0.861,0.416,0,1.883,1.986,0.001,814.9901356247979,,,1.073,0.663,1.001,1.03,0.104,0.878
Maize_yearly_True_window_4_lags_none_sinusoidal_no_piecewise,True,4,piecewise_lags_none_sinusoidal_no,0.597,0.0,638.588,643.421,True,True,False,0.678,0.481,0,1.805,1.805,0.433,770.0148816469697,,,,,,,,
Maize_yearly_True_window_4_lags_0_sinusoidal_no_piecewise,True,4,piecewise_lags_0_sinusoidal_no,0.651,0.0,635.242,641.686,True,True,False,0.859,0.129,0,1.824,1.847,0.188,770.0148816469697,1.023,0.03,,,,,,
