analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_True_window_8_lags_none_sinusoidal_yes_piecewise,True,8,piecewise_lags_none_sinusoidal_yes,0.527,0.179,355.094,360.549,True,True,False,1.413,0.422,0,1.841,2.36,0.32,1030.033827864495,,,,,,,1.223,1.296,0.005,0.103
Croplands_cluster_1_yearly_True_window_8_lags_1_sinusoidal_yes_piecewise,True,8,piecewise_lags_1_sinusoidal_yes,0.809,0.117,321.469,327.736,True,True,False,1.393,0.487,0,2.054,2.839,0.735,1030.1004699376263,1.092,0.011,,,,,1.202,1.491,0.0,0.0
Croplands_cluster_1_yearly_True_window_8_lags_2_sinusoidal_yes_piecewise,True,8,piecewise_lags_2_sinusoidal_yes,0.812,0.349,309.521,315.495,True,True,True,1.695,0.66,0,3.091,3.895,0.154,1024.8515458734848,,,1.115,0.004,,,1.224,1.464,0.0,0.002
Croplands_cluster_1_yearly_True_window_8_lags_6_sinusoidal_yes_piecewise,True,8,piecewise_lags_6_sinusoidal_yes,0.986,0.003,220.346,224.982,True,True,True,1.96,0.972,0,2.33,4.291,0.05,1037.348892053355,,,,,1.768,0.014,1.087,2.107,0.0,0.002
Croplands_cluster_1_yearly_False_window_9_lags_none_sinusoidal_no_piecewise,False,9,piecewise_lags_none_sinusoidal_no,0.184,0.058,955.45,961.417,True,True,False,0.505,0.087,0,1.118,1.118,0.001,1102.7727,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_9_lags_1_sinusoidal_no_piecewise,False,9,piecewise_lags_1_sinusoidal_no,0.2,0.064,937.511,945.393,True,True,False,0.608,0.034,0,1.127,1.191,0.002,1103.1688,1.064,0.623,,,,,,,,
Croplands_cluster_1_yearly_False_window_9_lags_2_sinusoidal_no_piecewise,False,9,piecewise_lags_2_sinusoidal_no,0.216,0.05,920.466,928.271,True,True,False,0.577,0.173,0,1.137,1.273,0.003,1103.5649,,,1.136,0.241,,,,,,
Croplands_cluster_1_yearly_False_window_9_lags_6_sinusoidal_no_piecewise,False,9,piecewise_lags_6_sinusoidal_no,0.208,0.057,886.704,894.189,False,True,False,0.781,-0.038,0,1.157,1.409,0.007,1108.8317997000001,,,,,1.252,0.058,,,,
Croplands_cluster_1_yearly_False_window_9_lags_none_sinusoidal_yes_piecewise,False,9,piecewise_lags_none_sinusoidal_yes,0.297,0.981,951.374,961.319,True,True,False,0.559,0.166,0,1.134,1.268,0.349,1102.7727,,,,,,,1.133,1.002,0.008,0.275
Croplands_cluster_1_yearly_False_window_9_lags_1_sinusoidal_yes_piecewise,False,9,piecewise_lags_1_sinusoidal_yes,0.302,0.935,934.293,946.115,True,True,False,0.621,0.062,0,1.143,1.342,0.27,1103.1688,1.072,0.639,,,,,1.126,1.001,0.012,0.461
Croplands_cluster_1_yearly_False_window_9_lags_2_sinusoidal_yes_piecewise,False,9,piecewise_lags_2_sinusoidal_yes,0.35,0.93,914.732,926.44,True,True,False,0.631,0.126,0,1.156,1.447,0.418,1103.5649,,,1.155,0.172,,,1.134,1.002,0.004,0.562
Croplands_cluster_1_yearly_False_window_9_lags_6_sinusoidal_yes_piecewise,False,9,piecewise_lags_6_sinusoidal_yes,0.292,0.323,885.324,896.551,False,True,False,0.839,-0.524,0,1.227,2.037,0.424,1108.8317997000001,,,,,1.364,0.088,1.38,1.066,0.033,0.411
Croplands_cluster_1_yearly_True_window_9_lags_none_sinusoidal_no_piecewise,True,9,piecewise_lags_none_sinusoidal_no,0.252,0.062,351.283,354.556,True,True,False,0.774,-0.166,0,1.809,1.809,0.026,1026.4692733008083,,,,,,,,,,
