analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_False_window_4_lags_2_sinusoidal_yes_spline,False,4,spline_lags_2_sinusoidal_yes,0.205,0.514,979.504,995.114,True,True,False,0.687,-0.055,0,1.0,1.194,1.17,1.012,0.056,0.824,0.67,"[np.float64(965.472), np.float64(1023.506925), np.float64(1059.683055), np.float64(1091.83074), np.float64(1225.655992)]",,,1.15,0.849,,,1.196,1.029,0.003,0.709
Croplands_cluster_1_yearly_False_window_4_lags_6_sinusoidal_yes_spline,False,4,spline_lags_6_sinusoidal_yes,0.228,0.055,918.109,933.079,True,True,False,0.744,-0.278,0,1.0,1.767,1.291,1.137,0.01,0.657,0.553,"[np.float64(965.472), np.float64(1018.96656), np.float64(1056.9293), np.float64(1096.042), np.float64(1225.655992)]",,,,,1.896,0.753,1.266,1.033,0.022,0.725
Croplands_cluster_1_yearly_True_window_4_lags_none_sinusoidal_no_spline,True,4,spline_lags_none_sinusoidal_no,0.234,0.136,391.646,397.101,True,True,False,0.755,-2.705,0,1.0,1.0,1.0,1.0,0.184,0.65,0.227,"[np.float64(990.700426), np.float64(1024.718426), np.float64(1039.3725), np.float64(1054.493438), np.float64(1095.6868118500001)]",,,,,,,,,,
Croplands_cluster_1_yearly_True_window_4_lags_1_sinusoidal_no_spline,True,4,spline_lags_1_sinusoidal_no,0.274,0.235,376.656,382.923,True,True,False,0.655,-422.857,0,1.0,1.0,1.0,1.0,0.377,0.509,0.38,"[np.float64(990.700426), np.float64(1011.3285), np.float64(1031.540314), np.float64(1054.35375), np.float64(1095.6868118500001)]",1.0,0.233,,,,,,,,
Croplands_cluster_1_yearly_True_window_4_lags_2_sinusoidal_no_spline,True,4,spline_lags_2_sinusoidal_no,0.281,0.5,361.107,367.082,True,True,False,0.457,-92.409,0,1.0,1.0,1.007,1.021,0.72,0.603,0.737,"[np.float64(996.550568), np.float64(1027.397978), np.float64(1039.367188), np.float64(1054.409625), np.float64(1095.6868118500001)]",,,1.028,0.215,,,,,,
Croplands_cluster_1_yearly_True_window_4_lags_6_sinusoidal_no_spline,True,4,spline_lags_6_sinusoidal_no,0.418,0.078,292.459,297.094,True,True,False,0.705,-1.066,0,1.0,1.041,1.0,1.017,0.419,0.821,0.646,"[np.float64(999.59425), np.float64(1038.738425), np.float64(1052.071837), np.float64(1063.197312), np.float64(1095.6868118500001)]",,,,,1.058,0.714,,,,
Croplands_cluster_1_yearly_True_window_4_lags_none_sinusoidal_yes_spline,True,4,spline_lags_none_sinusoidal_yes,0.398,0.357,390.355,397.992,True,True,False,0.854,-9.601,0,1.0,1.373,1.288,1.308,0.309,0.296,0.87,"[np.float64(990.700426), np.float64(1024.718426), np.float64(1039.3725), np.float64(1054.493438), np.float64(1095.6868118500001)]",,,,,,,1.497,1.471,0.146,0.174
Croplands_cluster_1_yearly_True_window_4_lags_1_sinusoidal_yes_spline,True,4,spline_lags_1_sinusoidal_yes,0.599,0.69,368.164,376.52,True,True,False,1.005,-177.235,0,1.0,1.376,1.345,1.087,0.725,0.095,0.824,"[np.float64(990.700426), np.float64(1011.3285), np.float64(1031.540314), np.float64(1054.35375), np.float64(1095.6868118500001)]",1.0,0.076,,,,,1.355,1.452,0.047,0.029
Croplands_cluster_1_yearly_True_window_4_lags_2_sinusoidal_yes_spline,True,4,spline_lags_2_sinusoidal_yes,0.713,0.471,346.736,354.702,True,True,False,1.131,-48.733,0,1.0,1.4,1.292,1.426,0.859,0.083,0.536,"[np.float64(996.550568), np.float64(1027.397978), np.float64(1039.367188), np.float64(1054.409625), np.float64(1095.6868118500001)]",,,1.036,0.011,,,1.412,1.671,0.02,0.011
Croplands_cluster_1_yearly_True_window_4_lags_6_sinusoidal_yes_spline,True,4,spline_lags_6_sinusoidal_yes,0.955,0.004,255.656,261.837,True,True,True,2.088,-23.595,0,1.0,1.378,1.25,1.073,0.836,0.043,0.5,"[np.float64(999.59425), np.float64(1038.738425), np.float64(1052.071837), np.float64(1063.197312), np.float64(1095.6868118500001)]",,,,,1.069,0.544,1.322,1.311,0.0,0.385
