analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER_yearly_True_window_7_lags_4_sinusoidal_yes_linear,True,7,linear_lags_4_sinusoidal_yes,0.832,0.011,365.787,373.27,True,True,False,0.809,0.781,0,1.0,,,,,,,1.0,0.0,,,1.0,1.0,0.979,0.0
CPER_yearly_True_window_7_lags_5_sinusoidal_yes_linear,True,7,linear_lags_5_sinusoidal_yes,0.842,0.138,353.83,361.158,True,True,False,0.809,0.801,0,1.0,,,,,,,,,1.0,0.0,1.0,1.0,0.589,0.0
CPER_yearly_False_window_8_lags_none_sinusoidal_no_linear,False,8,linear_lags_none_sinusoidal_no,0.403,0.0,438.819,442.041,True,False,False,0.246,0.245,0,1.0,,,,,,,,,,,,,,
CPER_yearly_False_window_8_lags_1_sinusoidal_no_linear,False,8,linear_lags_1_sinusoidal_no,0.403,0.0,427.723,432.473,True,True,False,0.366,0.336,0,1.0,1.0,0.229,,,,,,,,,,,,
CPER_yearly_False_window_8_lags_2_sinusoidal_no_linear,False,8,linear_lags_2_sinusoidal_no,0.507,0.002,410.778,415.444,True,True,False,0.333,0.387,0,1.0,,,1.0,0.01,,,,,,,,,,
CPER_yearly_False_window_8_lags_3_sinusoidal_no_linear,False,8,linear_lags_3_sinusoidal_no,0.62,0.021,392.295,396.874,True,True,False,0.493,0.606,0,1.0,,,,,1.0,0.0,,,,,,,,
CPER_yearly_False_window_8_lags_4_sinusoidal_no_linear,False,8,linear_lags_4_sinusoidal_no,0.672,0.113,375.861,380.351,True,True,False,0.564,0.611,0,1.0,,,,,,,1.0,0.0,,,,,,
CPER_yearly_False_window_8_lags_5_sinusoidal_no_linear,False,8,linear_lags_5_sinusoidal_no,0.719,0.942,360.421,364.818,True,True,False,0.535,0.619,0,1.0,,,,,,,,,1.0,0.0,,,,
CPER_yearly_False_window_8_lags_none_sinusoidal_yes_linear,False,8,linear_lags_none_sinusoidal_yes,0.62,0.0,426.088,432.532,True,True,False,0.308,0.369,0,1.0,,,,,,,,,,,1.0,1.0,0.516,0.0
CPER_yearly_False_window_8_lags_1_sinusoidal_yes_linear,False,8,linear_lags_1_sinusoidal_yes,0.712,0.001,405.52,413.438,True,True,False,0.684,0.459,0,1.0,1.0,0.071,,,,,,,,,1.0,1.0,0.285,0.0
CPER_yearly_False_window_8_lags_2_sinusoidal_yes_linear,False,8,linear_lags_2_sinusoidal_yes,0.777,0.017,387.081,394.858,True,True,False,0.71,0.626,0,1.0,,,1.0,0.0,,,,,,,1.0,1.0,0.129,0.0
CPER_yearly_False_window_8_lags_3_sinusoidal_yes_linear,False,8,linear_lags_3_sinusoidal_yes,0.826,0.077,369.755,377.387,True,True,False,0.708,0.759,0,1.0,,,,,1.0,0.0,,,,,1.0,1.0,0.083,0.0
CPER_yearly_False_window_8_lags_4_sinusoidal_yes_linear,False,8,linear_lags_4_sinusoidal_yes,0.824,0.093,359.315,366.798,True,True,False,0.764,0.749,0,1.0,,,,,,,1.0,0.0,,,1.0,1.0,0.41,0.0
CPER_yearly_False_window_8_lags_5_sinusoidal_yes_linear,False,8,linear_lags_5_sinusoidal_yes,0.828,0.366,348.609,355.938,True,True,False,0.74,0.767,0,1.0,,,,,,,,,1.0,0.0,1.0,1.0,0.882,0.0
CPER_yearly_True_window_8_lags_none_sinusoidal_no_linear,True,8,linear_lags_none_sinusoidal_no,0.403,0.0,438.819,442.041,True,False,False,0.246,0.245,0,1.0,,,,,,,,,,,,,,
CPER_yearly_True_window_8_lags_1_sinusoidal_no_linear,True,8,linear_lags_1_sinusoidal_no,0.403,0.0,427.723,432.473,True,True,False,0.366,0.336,0,1.0,1.0,0.229,,,,,,,,,,,,
CPER_yearly_True_window_8_lags_2_sinusoidal_no_linear,True,8,linear_lags_2_sinusoidal_no,0.507,0.002,410.778,415.444,True,True,False,0.333,0.387,0,1.0,,,1.0,0.01,,,,,,,,,,
CPER_yearly_True_window_8_lags_3_sinusoidal_no_linear,True,8,linear_lags_3_sinusoidal_no,0.62,0.021,392.295,396.874,True,True,False,0.493,0.606,0,1.0,,,,,1.0,0.0,,,,,,,,
