analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Soybean_yearly_True_window_9_lags_7_sinusoidal_no_linear,True,9,linear_lags_7_sinusoidal_no,0.489,0.003,452.929,457.133,False,True,False,0.228,0.279,0,1.0,,,1.0,0.92,,,,
Soybean_yearly_True_window_9_lags_none_sinusoidal_yes_linear,True,9,linear_lags_none_sinusoidal_yes,0.636,0.0,556.791,563.235,False,True,False,0.289,0.54,0,1.0,,,,,1.0,1.0,0.007,0.499
Soybean_yearly_True_window_9_lags_1_sinusoidal_yes_linear,True,9,linear_lags_1_sinusoidal_yes,0.741,0.0,525.843,533.76,True,True,False,0.414,0.542,0,1.0,1.0,0.953,,,1.0,1.0,0.003,0.024
Soybean_yearly_True_window_9_lags_7_sinusoidal_yes_linear,True,9,linear_lags_7_sinusoidal_yes,0.711,0.0,439.86,446.866,True,True,False,0.547,0.393,0,1.0,,,1.0,0.219,1.0,1.0,0.084,0.001
Soybean_yearly_False_window_10_lags_none_sinusoidal_no_linear,False,10,linear_lags_none_sinusoidal_no,0.149,0.002,960.781,964.97,False,False,False,0.135,0.033,0,1.0,,,,,,,,
Soybean_yearly_False_window_10_lags_1_sinusoidal_no_linear,False,10,linear_lags_1_sinusoidal_no,0.181,0.003,937.597,943.829,True,False,False,0.214,0.049,0,1.0,1.0,0.383,,,,,,
Soybean_yearly_False_window_10_lags_7_sinusoidal_no_linear,False,10,linear_lags_7_sinusoidal_no,0.132,0.066,831.128,837.039,True,True,False,0.205,0.079,0,1.0,,,1.0,0.89,,,,
Soybean_yearly_False_window_10_lags_none_sinusoidal_yes_linear,False,10,linear_lags_none_sinusoidal_yes,0.156,0.002,964.26,972.638,False,False,False,0.142,-0.088,0,1.0,,,,,1.0,1.0,0.769,0.525
Soybean_yearly_False_window_10_lags_1_sinusoidal_yes_linear,False,10,linear_lags_1_sinusoidal_yes,0.211,0.001,939.393,949.781,True,False,False,0.235,-0.044,0,1.0,1.0,0.427,,,1.0,1.0,0.599,0.185
Soybean_yearly_False_window_10_lags_7_sinusoidal_yes_linear,False,10,linear_lags_7_sinusoidal_yes,0.327,0.004,821.656,831.507,True,False,False,0.328,0.193,0,1.0,,,1.0,0.304,1.0,1.0,0.021,0.006
Soybean_yearly_True_window_10_lags_none_sinusoidal_no_linear,True,10,linear_lags_none_sinusoidal_no,0.543,0.0,559.515,562.737,True,False,False,0.174,0.45,0,1.0,,,,,,,,
Soybean_yearly_True_window_10_lags_1_sinusoidal_no_linear,True,10,linear_lags_1_sinusoidal_no,0.639,0.0,531.434,536.184,True,False,False,0.28,0.613,0,1.0,1.0,0.463,,,,,,
Soybean_yearly_True_window_10_lags_7_sinusoidal_no_linear,True,10,linear_lags_7_sinusoidal_no,0.504,0.007,450.635,454.839,False,True,False,0.161,0.367,0,1.0,,,1.0,0.466,,,,
Soybean_yearly_True_window_10_lags_none_sinusoidal_yes_linear,True,10,linear_lags_none_sinusoidal_yes,0.628,0.0,555.95,562.394,False,False,False,0.222,0.437,0,1.0,,,,,1.0,1.0,0.013,0.457
Soybean_yearly_True_window_10_lags_1_sinusoidal_yes_linear,True,10,linear_lags_1_sinusoidal_yes,0.749,0.0,522.369,530.286,False,True,False,0.344,0.519,0,1.0,1.0,0.673,,,1.0,1.0,0.011,0.017
Soybean_yearly_True_window_10_lags_7_sinusoidal_yes_linear,True,10,linear_lags_7_sinusoidal_yes,0.693,0.001,440.173,447.179,True,True,False,0.336,0.297,0,1.0,,,1.0,0.965,1.0,1.0,0.092,0.005
